MK_Type,Sheet,Client,Country,Service_date,Reason_for_Service,RemScan_Serial,User_ID,User_Password,Background_Cap,Polystyrene_PS_Cap,SNR_1142_1042_cm1,SNR_2600_2500_cm1,Centre_burst_intensity,Single_beam_spectrum_4200_4500,Single_beam_spectrum_2600_3000
mk1,Plots,,,,,,,,,,,,,,
mk1,Master,Instrument,,,,,,,,,,,,,
mk1,First,,,,,,,,,,,,,,
mk1,new,,,,,,,,,,,,,,
mk1,2023 MY19342009,DEME ,Belgium,2023-03-28,Return from repair,MY19342009,,,5050,7500,4624,3394.49,,1.8860459336908915,9.475569070158503
mk1,MY17292001 post repair,Total France,France,2023-04-11,Post repair,MY17292011,,,6050,5500,4801.56,3256.82,,0.8180618264706769,8.066071901525582
mk1,2023 US12341306,Chevron WA,Australia,2023-04-12,Annual Service,US12341306,total,total2011,5300,4500,4657.72,3589.26,,1.7664764579791368,9.434775760220157
mk1,2023 US12341304,Chevron WA,Australia,2023-03-27,Annual Service,US12341304A,Chevron,Chevron1304,4300,4400,4332.37,2386.29,,0.8926162579573531,8.060262873809828
mk1,021100653A post repair,Rental,Rental,2023-03-06,return form repair,02110065A,Ziltek,653A,5142,6500,4219,3340,,1.9121876146519219,9.834542833575737
mk1,2023 MY18292005,Alcoa,Australia,2023-03-15,Annual Service,MY18292005,,,3440,2934,5987.97,3124.14,,1.5159982544309776,8.396594725963693
mk1,2023 MY16442017 ,Shell,Nigeria,2023-03-14,errors,MY16442017,Shell,Shell2017,450,1600,2251.0017,739.858,827308,0.3147504228184122,6.539011713479695
mk1,2023 MY16262011,UN Italy,Italy,2023-02-14,lo energy warning,MY16262011,UN,UN2011,6700,,5791,5071,,1.7149314138611558,10.275935510665837
mk1,2023 MY14080001,Shell Nigeria,Nigeria,2023-02-07,annual service,MY14080001,Shell,Shell0001,4500,4300,4765.16,2563,,0.9243111530126352,7.874818754942103
mk1,prerepair 021100653A,Rental Instrument,Rental,2023-01-11,,021100653A,RemScan,53A,4759,4835,3268,2655.36,,1.84667599759742,9.386950048693429
mk1,Preshipping MY19242002,Envisol,Canada,2022-12-21,preshipping ,MY19242002,Envisol,2002,5255,5200,4705,4448,,1.8659117443042113,10.24794030928511
mk1,SD7G24C,AECOM,Taiwan,2022-10-26,,MY14010001,,,5400,7000,5348.75,3800,2189052.5,1.4798517460993061,9.083303809245876
mk1,506NIJ8,Aecom Taiwan,Taiwan ,2022-10-26,,MY20342019,,,5200,5000,5467.37,3093.4,3126245.25,1.3102652067046636,8.31685089909469
mk1,5VMSUM2,Total Nigeria,Nigeria ,2022-10-29,Annual Service,MY18272011,Total,Total2011,6400,5000,5309.86,3469.7,2884522.25,1.5759242142573076,9.29052738557388
mk1,2QLOLIC,,,,,MY19242001,,,,,,,0,,
mk1,MY16262013 2022 annual service,Roy Hill,Australia,2022-11-01,Annual Service,MY16262013,RH,RH2013,3830,3320,5226.4329,2386.7512,,1.2610382658176598,7.487164108905493
mk1,MY16152012 2022 annual service,RMIT,Australia,2022-11-03,Annual service,MY16152012,RMIT,RMIT2012,3050,5760,4511.0239,2427.0512,23575,1.1684883453657144,7.816911492881873
mk1,MY18102007 2022,Shell Nigeria,Nigeria,2022-09-16,Annual Service,MY18102007,Shell,Shell2007,6027,6099,5446.9,3688.99,2501993,1.34211949594265,9.243115259158353
mk1,2022 MY16332014,RoyHill,Australia,2022-10-05,Annual Service,MY16332014,RH,RH2014,4700,6000,5494.7,3778.7,2918166,1.4329187595815454,9.051371888235192
mk1,US12441417 pre-delivery,Rental Instrument,Rental  ,2022-09-20,pre-delivery,US12441417,DEME,DEME2009,4786,4100,3500,2600,2442016,1.788899439003529,9.47468846153108
mk1,US12441417 reuturn from repair,Rental Instrument,Rental  ,2022-08-17,return form repair,US12441417,s,,4786,4100,3203,2058,2442016,1.788899439003529,9.47468846153108
mk1,2022 MY16442017,Shell,Nigeria ,2022-08-10,Annual service,MY16442017,Shell,Shell2017,4880,4600,5169,2929.144,2516117.25,0.9915525392228505,7.9844295638171605
mk1,post shipping MY20342020,HYPREP,Nigeria ,2022-08-09,Health Checkpost Shipping,MY20342020,HYPREP,HYPREP2020,7500,7600,5519,4124,35700,1.741294731511377,9.824499862510457
mk1,MY17092001 2022,Envisol,Canada,2022-08-29,Annual Service,MY17092001,Envisol,Envisol2001,7280,8230,4123.67,3225.27,2494387.25,1.826203948070361,9.626736865407807
mk1,MY16262011 2022 - 2,UN Italy,Italy,2022-07-15,Annual Service - verification,MY16262011,UN,UN2011,4610,5170,5052.6162,3317.4067,35700,1.5314975235242156,7.681152884111726
mk1,MY16262011 2022,UN Italy,Italy ,2022-07-14,Annual Serice,MY16262011,,,3264,5400,4057.74,1568.43,827308,0.314752133776314,6.539047259019751
mk1,MY18292011 2022,Alcoa Wilowdale,Australia,2022-07-05,Annual Service,MY18292011,Alcoa,Alcoa2011,7400,6450,6116.65,4843.12,2124929.5,1.8636677328712727,9.712768799385426
mk1,MY17292010 2022,Kementerian Lingkungan Hidup & Kehutanan Republik Indonesia,Indonesia,2022-07-01,,MY17292010,,,7145,,5541.1741,4048.1814,2990185.75,1.6349190495359693,9.275553862263898
mk1,021100653A 2022,Rental instrument,Rental  ,2022-06-30,annual service,021100653A,s,,5070,7400,3423.79,2796.24,2108683.75,1.8814369735078982,9.522459392562405
mk1,MY17292011 2022-06,Total France,France,2022-06-09,Failing background,MY17292011,,,3916,3302,4424,1857.13,2718475.25,0.0804454396470404,6.342899557212764
mk1,MY13260003,EPA,Australia,2022-06-07,Upgrade without tablet,MY13260003,EPA,EPA0003,4300,6633,3076,1588,2863671.25,1.4183316923728924,8.09630786481662
mk1,MY20342020,Hiprep,Nigeria ,2022-05-26,Pre-Shipping,MY20342020,,,,,5615.7,4455,22155818545.127953,1.8826844769936304,9.851474674944784
mk1,US121000641A,EESI,Australia,2022-05-30,Tablet Upgrade,US121000641,,,4550,8400,3682,2394,3208276.5,1.6336023658082257,8.846641362179728
mk1,MY19242002 2022,Envisol,Canada,2022-06-06,Predelivery,MY19242002,,,5288,6277,4659,4559,4274258.5,1.8510672290067112,10.095246785071286
mk1,MY13510001,FMG,Australia,2022-03-18,Upgrade to tablet,MY13510001,FMG,FMG0001,3120,4840,4200.9,2556.56,4966091,1.547931146446541,8.662609485628456
mk1,MY19242002 post repair,TBA,Australia,2022-01-06,return from repair,MY19242002,,,5140,6000,4581.95,4158.91,6933464.5,1.7070075146017643,10.146918591515785
mk1,2022_MY18292005,Alcoa,Australia,2022-03-23,Annual Service,MY18292005,Alcoa,Alcoa2005,3550,3160,4569,2515,22968600421.574986,1.400780836531867,8.103143401596851
mk1,2022_MY14150002,FMG,Australia,2022-04-12,Upgrade to Tablet,MY14150002,FMG,FMG0002,3862,5600,4252.3411,1465.88,4244056,0.9077514910696517,7.547808256896945
mk1,US1234130B 2021,Chevron WA,Australia,2021-12-21,Annual Service,US12341304B,,,5200,5100,5057.9,2034.22,3006101.75,0.853647728836905,7.646200194214369
mk1,MY20342019 post repair Nov-21,AECOM Taiwan,Taiwan,2021-11-15,Post lens replacement,MY20342019,,,6500,12000,5274.36,3992.059,2804491.5,1.7983330509282733,9.595639004266857
mk1,Sheet1,,,,,,,,,,,,,,
mk1,MY16152012,RMIT,Australia,2021-11-30,Tablet Upgrade,MY16152012,RMIT,RMIT2012,3850,3566,4392.196,2277.98,,1.0379278609028517,7.212259864625216
mk1,MY14080001,Shell Nigeria,Nigeria ,2021-12-08,Rechecking previous results,MY14080001,,,4250,9000,4906.8856,2518.6092,967098.188,1.052352186283194,7.585854283488542
mk1, 2021 US13041576B,Chevron,Australia,2021-12-09,annual service,US13041576B,,,4350,2200,3057.45,2467.6,2461208.75,1.2316115667892575,8.138186595903543
